Designator,MidX,MidY,Side,Rotation
C1,88.8238,-68.3387,Top,0
C2,78.26,-67.13,Top,0
C3,79.5,-81.75,Top,0
C4,79.512,-80.6,Top,0
C5,80.33,-58.67,Top,270
C6,76.12,-69.07,Top,0
C7,75.52,-72,Top,0
C8,78.04,-59.43,Top,270
C9,90.8,-69.4,Top,0
C10,95.55,-57.57,Top,180
C11,79.37,-78.79,Top,0
C12,79.4,-77.57,Top,0
C13,79.42,-76.32,Top,0
C14,89.2,-73.54,Top,0
C15,99.3394,-67.65,Top,0
C16,99.3,-66.2,Top,0
C17,86.45,-61.23,Top,180
C18,77.1,-62.7,Top,90
C19,92.9005,-76.5175,Top,180
C20,91.95,-67.5,Top,0
C21,100.0125,-62.5475,Top,180
FB1,96.964501,-76.5175,Top,180
L1,90.7,-64.2,Top,90
P1,106.1,-69.06,Top,90
R1,97.87,-59.48,Top,0
R2,93.94,-59.47,Top,0
R3,89.14,-72.08,Top,180
R4,88.35,-64.85,Top,270
R5,99.2886,-68.9991,Top,0
R6,99.3394,-70.993,Top,0
R7,99.93,-80.26,Top,180
R8,75.03,-62.71,Top,90
R9,106.79,-63.27,Top,90
R10,87.249,-64.85,Top,270
U1,83.5,-70.4055,Top,270
U2,95.15,-64.6,Top,180
X1,82.7,-61.92,Top,0
